time_s,resp
25.5000,10.0529
25.7500,4.2386
26.0000,-0.3548
26.2500,-3.1933
26.5000,4.2539
26.7500,11.9223
27.0000,16.6607
27.2500,19.4382
27.5000,20.6209
27.7500,19.1635
28.0000,19.7891
28.2500,21.1473
28.5000,20.7582
28.7500,17.1414
29.0000,10.9151
29.2500,4.5591
29.5000,-0.7440
29.7500,-4.5744
30.0000,-2.9491
30.2500,6.3141
30.5000,12.7922
30.7500,16.6913
31.0000,18.7896
31.2500,20.1020
31.5000,21.1016
31.7500,19.9570
32.0000,16.6684
32.2500,11.4035
32.5000,4.4370
32.7500,-1.4536
33.0000,-6.2912
33.2500,-8.6413
33.5000,-0.0877
33.7500,8.3056
34.0000,13.6391
34.2500,16.7447
34.5000,17.9960
34.7500,19.1635
35.0000,20.6819
35.2500,20.5522
35.5000,16.9812
35.7500,10.1521
36.0000,4.6888
36.2500,1.4536
36.5000,-0.7134
36.7500,-1.7893
37.0000,3.0559
37.2500,10.6328
37.5000,15.8061
37.7500,19.0795
38.0000,21.1092
38.2500,21.9790
38.5000,21.2771
38.7500,22.3224
39.0000,19.8349
39.2500,11.4645
39.5000,3.6511
39.7500,-1.9038
40.0000,-5.7876
40.2500,-6.3446
40.5000,2.4302
40.7500,9.7782
41.0000,14.3030
41.2500,16.9202
41.5000,18.3775
41.7500,18.4844
42.0000,16.5005
42.2500,13.5705
42.5000,8.5803
42.7500,4.0173
43.0000,-0.4922
43.2500,-4.0479
43.5000,-2.3539
43.7500,6.4056
44.0000,12.7006
44.2500,16.4242
44.5000,18.1486
44.7500,19.5068
45.0000,20.3004
45.2500,19.3466
45.5000,15.9130
45.7500,10.6786
46.0000,6.5811
46.2500,3.6435
46.5000,0.8050
46.7500,-1.6596
47.0000,2.3768
47.2500,10.2131
47.5000,15.4780
47.7500,18.4081
48.0000,20.1096
48.2500,21.2084
48.5000,21.8264
48.7500,21.2465
49.0000,18.0723
49.2500,16.8744
49.5000,10.7625
49.7500,3.6358
50.0000,-1.5757
50.2500,-4.4752
50.5000,-6.0775
50.7500,-1.1941
51.0000,7.4739
51.2500,13.5247
51.5000,16.7294
51.7500,18.4767
52.0000,18.7591
52.2500,18.9880
52.5000,17.5840
52.7500,19.5908
53.0000,20.2775
53.2500,17.7976
53.5000,11.4111
53.7500,4.6125
54.0000,-0.6982
54.2500,-3.8037
54.5000,-3.7503
54.7500,5.1085
55.0000,11.8765
55.2500,15.8290
55.5000,17.7519
55.7500,18.0647
56.0000,17.4772
56.2500,16.1571
56.5000,18.6141
56.7500,17.9579
57.0000,11.7773
57.2500,5.1008
57.5000,0.2022
57.7500,-2.8499
58.0000,-0.2556
58.2500,8.3437
58.5000,14.0970
58.7500,16.8744
59.0000,18.7438
59.2500,18.9193
59.5000,16.9812
59.7500,14.6082
60.0000,13.6468
60.2500,9.6714
60.5000,7.0160
60.7500,4.5820
61.0000,1.6901
61.2500,2.1403
61.5000,10.4192
61.7500,16.1877
62.0000,18.7438
62.2500,19.4992
62.5000,19.7663
62.7500,21.1397
