"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.620664710E-1,-8.432576060E-2,-2.056280375E-1,-2.221088409E-1,3.142070351E-1
7.670664710E-1,-3.661000729E-2,-1.634045839E-1,-1.906156540E-1,2.537236257E-1
7.720664710E-1,-1.921653748E-4,-1.462388039E-1,-1.371040344E-1,2.004578283E-1
7.770664710E-1,2.273613214E-2,-9.297740459E-2,-7.664775848E-2,1.226238490E-1
7.820664710E-1,4.214674234E-2,-5.231404305E-2,-2.214908600E-2,7.073675848E-2
7.870664710E-1,4.771018028E-2,-1.011681557E-2,3.839111328E-2,6.206842062E-2
7.920664710E-1,4.213103652E-2,-2.507925034E-3,1.287155151E-1,1.354584725E-1
7.970664710E-1,1.257488132E-2,2.038550377E-2,1.879997253E-1,1.895193740E-1
8.020664710E-1,-5.159169436E-3,4.189813137E-2,2.360973358E-1,2.398416611E-1
8.070664710E-1,-4.867297411E-2,5.014526844E-2,2.794179916E-1,2.880243400E-1
8.120664710E-1,-9.075033665E-2,5.253207684E-2,2.847642899E-1,3.034566583E-1
8.170664710E-1,-8.991721272E-2,4.803919792E-2,2.873239517E-1,3.048736179E-1
8.220664710E-1,-1.254948080E-1,3.771471977E-2,2.456312180E-1,2.783990699E-1
8.270664710E-1,-1.113963723E-1,4.916608334E-2,1.997690201E-1,2.339532366E-1
8.320664710E-1,-1.112881899E-1,5.177855492E-2,1.673383713E-1,2.075288184E-1
8.370664710E-1,-1.129811406E-1,2.746915817E-2,1.243162155E-1,1.702169622E-1
8.420664710E-1,-1.198596656E-1,1.151692867E-2,7.729530334E-2,1.430857890E-1
8.470664710E-1,-1.156042218E-1,8.547425270E-3,2.408409119E-2,1.183952619E-1
8.520664710E-1,-1.048382521E-1,2.116560936E-3,-4.017257690E-2,1.122914728E-1
8.570664710E-1,-8.132663369E-2,-7.852554321E-3,-1.068878174E-1,1.345388028E-1
8.620664710E-1,-2.537241578E-2,-2.020537853E-2,-1.426382065E-1,1.462794406E-1
8.670664710E-1,2.437710762E-2,-8.809924126E-3,-1.489744186E-1,1.512125509E-1
8.720664710E-1,8.507069945E-2,9.399056435E-3,-1.549777985E-1,1.770409110E-1
8.770664710E-1,1.290203333E-1,1.581072807E-2,-1.582422256E-1,2.047848322E-1
8.820664710E-1,1.692916304E-1,3.280293941E-2,-1.680679321E-1,2.407955954E-1
8.870664710E-1,1.598372161E-1,4.846394062E-2,-1.645488739E-1,2.344632617E-1
8.920664710E-1,1.620036215E-1,5.278921127E-2,-1.697731018E-1,2.405302066E-1
8.970664710E-1,1.548709422E-1,5.783712864E-2,-1.322870255E-1,2.117309597E-1
9.020664710E-1,1.320192963E-1,6.757831573E-2,-8.423137665E-2,1.705603945E-1
9.070664710E-1,1.048020422E-1,7.110249996E-2,-3.962326050E-2,1.326990442E-1
9.120664710E-1,6.685671210E-2,8.218908310E-2,-4.506111145E-3,1.060432476E-1
9.170664710E-1,4.625394940E-2,6.833052635E-2,7.403469086E-2,1.108585771E-1
9.220664710E-1,2.263075113E-2,6.817626953E-2,1.446084976E-1,1.614675578E-1
9.270664710E-1,-1.028329134E-3,6.373167038E-2,1.880235672E-1,1.985337379E-1
9.320664710E-1,-5.146563053E-3,4.843139648E-2,1.968240738E-1,2.027604579E-1
9.370664710E-1,-1.081666350E-2,1.945090294E-2,1.571683884E-1,1.587363857E-1
9.420664710E-1,-1.630902290E-2,-1.029479504E-2,1.189823151E-1,1.205352991E-1
9.470664710E-1,-2.198913693E-2,-2.974617481E-2,5.569934845E-2,6.686385030E-2
9.520664710E-1,-1.208910346E-2,-6.773269176E-2,-3.092479706E-2,7.543346094E-2
9.570664710E-1,-6.311118603E-3,-1.212702990E-1,-8.820343018E-2,1.500871771E-1
9.620664710E-1,3.257840872E-3,-1.811105013E-1,-1.054000854E-1,2.095729115E-1
9.670664710E-1,2.796331048E-2,-2.318540812E-1,-1.386861801E-1,2.716102322E-1
