"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.130185940E-1,2.632105052E-1,9.322437286E0,-2.847458839E0,9.751160883E0
2.151082810E-1,2.344966233E-1,9.332008362E0,-2.837887764E0,9.756791260E0
2.171979690E-1,2.392822653E-1,9.336793900E0,-2.828316450E0,9.758706383E0
2.192877080E-1,2.249253243E-1,9.332008362E0,-2.823530674E0,9.752399547E0
2.213773960E-1,2.201396823E-1,9.327222824E0,-2.809173822E0,9.743562216E0
2.234670830E-1,2.009970993E-1,9.303294182E0,-2.828316450E0,9.725793356E0
2.255567710E-1,2.057827413E-1,9.303294182E0,-2.837887764E0,9.728681110E0
2.276464580E-1,2.153540403E-1,9.298508644E0,-2.837887764E0,9.724312178E0
2.297361980E-1,1.962114573E-1,9.265008926E0,-2.842673302E0,9.693280190E0
2.318258850E-1,1.818545163E-1,9.269794464E0,-2.818745136E0,9.690587424E0
2.339155730E-1,1.579262912E-1,9.265008926E0,-2.823530674E0,9.686983875E0
2.360052600E-1,1.483550072E-1,9.250652313E0,-2.833101988E0,9.675900180E0
2.380949480E-1,1.483550072E-1,9.236295700E0,-2.833101988E0,9.662175446E0
2.401846870E-1,1.339980662E-1,9.245866776E0,-2.828316450E0,9.669714673E0
2.422743750E-1,1.292124242E-1,9.245866776E0,-2.818745136E0,9.666854319E0
2.443640620E-1,1.483550072E-1,9.241081238E0,-2.837887764E0,9.668153837E0
2.464538020E-1,1.483550072E-1,9.231510162E0,-2.842673302E0,9.660413065E0
2.485434890E-1,1.579262912E-1,9.241081238E0,-2.828316450E0,9.665500354E0
2.506331770E-1,1.579262912E-1,9.226723671E0,-2.885744095E0,9.668758421E0
2.527228640E-1,1.435693651E-1,9.231510162E0,-2.904886723E0,9.678830452E0
2.548125520E-1,1.579262912E-1,9.265008926E0,-2.943171740E0,9.722530072E0
2.569022390E-1,1.531406492E-1,9.288937569E0,-2.991028309E0,9.759818828E0
2.589919790E-1,1.579262912E-1,9.303294182E0,-3.005385160E0,9.777963147E0
2.610816660E-1,1.627119333E-1,9.322437286E0,-3.014956474E0,9.799197655E0
2.631713540E-1,1.722832322E-1,9.355937004E0,-3.024527788E0,9.834175465E0
2.652610940E-1,2.009970993E-1,9.394221306E0,-3.034099102E0,9.874084825E0
2.673507810E-1,1.962114573E-1,9.408578873E0,-3.038884640E0,9.889119030E0
2.694404690E-1,2.249253243E-1,9.437292099E0,-3.043670416E0,9.918518194E0
2.715301560E-1,2.440679073E-1,9.446864128E0,-3.101098061E0,9.945834313E0
2.736198440E-1,2.392822653E-1,9.461220741E0,-3.110669374E0,9.962339980E0
2.757095830E-1,2.440679073E-1,9.475577354E0,-3.110669374E0,9.976091384E0
2.777992710E-1,2.488535494E-1,9.442078590E0,-3.115455151E0,9.945895485E0
2.798889580E-1,2.584248483E-1,9.432506561E0,-3.101098061E0,9.932561231E0
2.819786460E-1,2.775674164E-1,9.427721024E0,-3.120240688E0,9.934529144E0
2.840683850E-1,2.919243574E-1,9.408578873E0,-3.134597778E0,9.921304323E0
2.861580730E-1,2.967100143E-1,9.413364410E0,-3.168097258E0,9.936614443E0
2.882477600E-1,3.110669553E-1,9.389435768E0,-3.177668571E0,9.917451499E0
2.903374480E-1,3.110669553E-1,9.365508080E0,-3.215953588E0,9.907162143E0
2.924271870E-1,3.110669553E-1,9.351150513E0,-3.215953588E0,9.893590655E0
2.945168750E-1,3.254238665E-1,9.346364975E0,-3.230310678E0,9.894207700E0
2.966065620E-1,3.302095234E-1,9.332008362E0,-3.235096216E0,9.882371473E0
2.986962500E-1,3.349951804E-1,9.341579437E0,-3.254238844E0,9.897848181E0
3.007859370E-1,3.254238665E-1,9.336793900E0,-3.263810158E0,9.896164801E0
3.028756770E-1,3.014956415E-1,9.365508080E0,-3.297309637E0,9.933573982E0
3.049653640E-1,2.967100143E-1,9.370293617E0,-3.316452265E0,9.944309676E0
3.070550520E-1,2.871387303E-1,9.384650230E0,-3.316452265E0,9.957558146E0
3.091447390E-1,2.488535494E-1,9.399007797E0,-3.340380430E0,9.978046757E0
3.112344790E-1,2.297109663E-1,9.394221306E0,-3.321237803E0,9.966683581E0
3.133241660E-1,2.105683982E-1,9.384650230E0,-3.340380430E0,9.963640922E0
3.154138540E-1,1.914258152E-1,9.399007797E0,-3.335594654E0,9.975178350E0
3.175035410E-1,2.009970993E-1,9.384650230E0,-3.369094372E0,9.973106671E0
3.195932290E-1,1.962114573E-1,9.384650230E0,-3.364308596E0,9.971395650E0
3.216829160E-1,2.009970993E-1,9.384650230E0,-3.393022537E0,9.981215443E0
3.237726560E-1,1.866401732E-1,9.360722542E0,-3.393022537E0,9.958441796E0
3.258623440E-1,1.866401732E-1,9.336793900E0,-3.402593851E0,9.939225311E0
3.279520310E-1,1.770688742E-1,9.322437286E0,-3.421736479E0,9.932143317E0
3.300417190E-1,1.770688742E-1,9.303294182E0,-3.416950703E0,9.912526828E0
3.321314580E-1,2.009970993E-1,9.298508644E0,-3.431307554E0,9.913452192E0
3.342210940E-1,2.057827413E-1,9.269794464E0,-3.460021496E0,9.896624914E0
3.363108330E-1,2.105683982E-1,9.255437851E0,-3.440878868E0,9.876594365E0
3.384005730E-1,2.153540403E-1,9.245866776E0,-3.464807272E0,9.876098381E0
3.404902600E-1,1.914258152E-1,9.231510162E0,-3.483949661E0,9.868907182E0
3.425799480E-1,1.818545163E-1,9.231510162E0,-3.483949661E0,9.868726168E0
3.446696350E-1,1.674975902E-1,9.212367058E0,-3.512663603E0,9.860758989E0
3.467593230E-1,1.674975902E-1,9.231510162E0,-3.546163082E0,9.890607055E0
3.488490100E-1,1.627119333E-1,9.241081238E0,-3.560520172E0,9.904613143E0
3.509386980E-1,1.866401732E-1,9.260223389E0,-3.589233875E0,9.933235705E0
3.530284370E-1,2.105683982E-1,9.269794464E0,-3.574877024E0,9.937463167E0
