time_s,acc_x,acc_y,acc_z
559.69531,-41.22857,-835.80000,-535.62857
559.70312,-41.22857,-838.74286,-532.68571
559.71094,-41.22857,-841.68571,-532.68571
559.71875,-38.28571,-844.62857,-532.68571
559.72656,-35.34286,-844.62857,-532.68571
559.73438,-35.34286,-844.62857,-535.62857
559.74219,-35.34286,-841.68571,-535.62857
559.75000,-32.40000,-838.74286,-535.62857
559.75781,-32.40000,-835.80000,-538.57143
559.76562,-32.40000,-835.80000,-538.57143
559.77344,-35.34286,-832.85714,-538.57143
559.78125,-35.34286,-835.80000,-541.51429
559.78906,-38.28571,-835.80000,-538.57143
559.79688,-38.28571,-838.74286,-535.62857
559.80469,-38.28571,-838.74286,-532.68571
559.81250,-38.28571,-841.68571,-535.62857
559.82031,-38.28571,-841.68571,-532.68571
559.82812,-41.22857,-841.68571,-535.62857
559.83594,-41.22857,-841.68571,-535.62857
559.84375,-41.22857,-838.74286,-535.62857
559.85156,-41.22857,-838.74286,-538.57143
559.85938,-38.28571,-838.74286,-535.62857
559.86719,-38.28571,-838.74286,-535.62857
559.87500,-38.28571,-838.74286,-535.62857
559.88281,-35.34286,-838.74286,-535.62857
559.89062,-35.34286,-838.74286,-535.62857
559.89844,-35.34286,-838.74286,-538.57143
559.90625,-35.34286,-838.74286,-538.57143
559.91406,-35.34286,-838.74286,-535.62857
559.92188,-38.28571,-838.74286,-538.57143
559.92969,-38.28571,-838.74286,-535.62857
559.93750,-38.28571,-838.74286,-535.62857
559.94531,-38.28571,-838.74286,-532.68571
559.95312,-38.28571,-838.74286,-535.62857
559.96094,-38.28571,-838.74286,-535.62857
559.96875,-38.28571,-838.74286,-535.62857
559.97656,-38.28571,-838.74286,-535.62857
559.98438,-38.28571,-838.74286,-535.62857
559.99219,-38.28571,-838.74286,-535.62857
560.00000,-38.28571,-838.74286,-535.62857
560.00781,-38.28571,-838.74286,-535.62857
560.01562,-38.28571,-838.74286,-535.62857
560.02344,-35.34286,-838.74286,-535.62857
560.03125,-35.34286,-838.74286,-535.62857
560.03906,-35.34286,-838.74286,-535.62857
560.04688,-35.34286,-838.74286,-535.62857
560.05469,-38.28571,-838.74286,-535.62857
560.06250,-38.28571,-838.74286,-535.62857
560.07031,-38.28571,-838.74286,-535.62857
560.07812,-38.28571,-838.74286,-532.68571
560.08594,-38.28571,-838.74286,-535.62857
560.09375,-38.28571,-838.74286,-535.62857
560.10156,-38.28571,-838.74286,-535.62857
560.10938,-38.28571,-838.74286,-535.62857
560.11719,-38.28571,-838.74286,-535.62857
560.12500,-38.28571,-838.74286,-535.62857
560.13281,-38.28571,-838.74286,-535.62857
560.14062,-38.28571,-838.74286,-535.62857
560.14844,-38.28571,-838.74286,-535.62857
560.15625,-38.28571,-838.74286,-535.62857
560.16406,-38.28571,-838.74286,-535.62857
560.17188,-38.28571,-838.74286,-535.62857
560.17969,-38.28571,-838.74286,-535.62857
560.18750,-38.28571,-838.74286,-535.62857
560.19531,-38.28571,-841.68571,-532.68571
560.20312,-38.28571,-841.68571,-535.62857
560.21094,-38.28571,-838.74286,-532.68571
560.21875,-38.28571,-838.74286,-535.62857
560.22656,-38.28571,-838.74286,-535.62857
560.23438,-38.28571,-838.74286,-535.62857
560.24219,-38.28571,-838.74286,-532.68571
560.25000,-38.28571,-838.74286,-532.68571
560.25781,-38.28571,-838.74286,-535.62857
560.26562,-38.28571,-838.74286,-535.62857
560.27344,-38.28571,-838.74286,-535.62857
560.28125,-38.28571,-841.68571,-532.68571
560.28906,-38.28571,-841.68571,-535.62857
560.29688,-38.28571,-841.68571,-532.68571
560.30469,-38.28571,-841.68571,-532.68571
560.31250,-38.28571,-841.68571,-535.62857
560.32031,-38.28571,-838.74286,-535.62857
560.32812,-38.28571,-838.74286,-535.62857
560.33594,-38.28571,-835.80000,-535.62857
560.34375,-38.28571,-835.80000,-535.62857
560.35156,-38.28571,-838.74286,-535.62857
560.35938,-38.28571,-838.74286,-535.62857
560.36719,-38.28571,-841.68571,-532.68571
560.37500,-38.28571,-841.68571,-535.62857
560.38281,-38.28571,-841.68571,-532.68571
560.39062,-35.34286,-841.68571,-532.68571
560.39844,-35.34286,-841.68571,-532.68571
560.40625,-35.34286,-841.68571,-532.68571
560.41406,-35.34286,-838.74286,-535.62857
560.42188,-35.34286,-835.80000,-538.57143
560.42969,-38.28571,-832.85714,-538.57143
560.43750,-41.22857,-832.85714,-538.57143
560.44531,-41.22857,-835.80000,-538.57143
560.45312,-41.22857,-835.80000,-535.62857
560.46094,-44.17143,-838.74286,-532.68571
560.46875,-41.22857,-841.68571,-529.74286
560.47656,-41.22857,-844.62857,-529.74286
560.48438,-38.28571,-847.57143,-529.74286
560.49219,-35.34286,-847.57143,-529.74286
560.50000,-35.34286,-844.62857,-532.68571
560.50781,-32.40000,-841.68571,-535.62857
560.51562,-32.40000,-838.74286,-535.62857
560.52344,-32.40000,-835.80000,-538.57143
560.53125,-32.40000,-835.80000,-538.57143
560.53906,-35.34286,-835.80000,-538.57143
560.54688,-38.28571,-835.80000,-538.57143
560.55469,-38.28571,-835.80000,-535.62857
560.56250,-38.28571,-838.74286,-532.68571
560.57031,-38.28571,-841.68571,-532.68571
560.57812,-38.28571,-841.68571,-532.68571
560.58594,-38.28571,-844.62857,-529.74286
560.59375,-38.28571,-844.62857,-532.68571
560.60156,-38.28571,-841.68571,-532.68571
560.60938,-38.28571,-838.74286,-535.62857
560.61719,-38.28571,-838.74286,-535.62857
560.62500,-38.28571,-838.74286,-535.62857
560.63281,-38.28571,-838.74286,-535.62857
560.64062,-38.28571,-838.74286,-535.62857
560.64844,-35.34286,-838.74286,-535.62857
